Age,Gender,qx
65,F,0.004703
66,F,0.005175
67,F,0.005695
68,F,0.006281
69,F,0.006947
70,F,0.007695
71,F,0.008531
72,F,0.009482
73,F,0.010570
74,F,0.011818
75,F,0.013257
76,F,0.014925
77,F,0.016881
78,F,0.019211
79,F,0.022000
80,F,0.025338
81,F,0.029312
82,F,0.034056
83,F,0.039702
84,F,0.046364
85,F,0.054238
86,F,0.063523
87,F,0.074333
88,F,0.086747
89,F,0.100770
90,F,0.116345
91,F,0.133395
92,F,0.151827
93,F,0.171544
94,F,0.192462
95,F,0.214538
96,F,0.237729
97,F,0.261959
98,F,0.287208
99,F,0.313626
100,F,0.341053
101,F,0.369299
102,F,0.398464
103,F,0.428799
104,F,0.460474
105,F,0.492096
106,F,0.522996
107,F,0.557098
108,F,0.591733
109,F,0.626704
110,F,0.661953
111,F,0.697404
112,F,0.732949
113,F,0.768450
114,F,0.803732
115,F,0.838578
116,F,0.872739
117,F,0.905939
118,F,0.937920
119,F,0.968603
120,F,1.000000
65,M,0.008836
66,M,0.009697
67,M,0.010595
68,M,0.011548
69,M,0.012589
70,M,0.013775
71,M,0.015160
72,M,0.016756
73,M,0.018575
74,M,0.020652
75,M,0.023015
76,M,0.025697
77,M,0.028765
78,M,0.032303
79,M,0.036398
80,M,0.041162
81,M,0.046742
82,M,0.053301
83,M,0.060999
84,M,0.069932
85,M,0.080122
86,M,0.091606
87,M,0.104556
88,M,0.119200
89,M,0.135801
90,M,0.154452
91,M,0.175126
92,M,0.197514
93,M,0.221254
94,M,0.246006
95,M,0.271255
96,M,0.296641
97,M,0.322640
98,M,0.350051
99,M,0.379847
100,M,0.412037
101,M,0.446089
102,M,0.480366
103,M,0.515112
104,M,0.558335
105,M,0.616318
106,M,0.641029
107,M,0.665843
108,M,0.690759
109,M,0.715776
110,M,0.740892
111,M,0.766104
112,M,0.791409
113,M,0.816806
114,M,0.842292
115,M,0.867869
116,M,0.893548
117,M,0.919355
118,M,0.945363
119,M,0.971783
120,M,1.000000
